Tanggal,Harga
2021-02-16,10450
2021-02-17,10450
2021-02-18,10500
2021-02-19,10500
2021-02-22,10450
2021-02-23,10500
2021-02-24,10500
2021-02-25,10500
2021-02-26,10500
2021-03-01,10500
2021-03-02,10500
2021-03-03,10450
2021-03-04,10450
2021-03-05,10450
2021-03-08,10450
2021-03-09,10450
2021-03-10,10450
2021-03-12,10450
2021-03-15,10450
2021-03-16,10450
2021-03-17,10400
2021-03-18,10400
2021-03-19,10400
2021-03-22,10400
2021-03-23,10400
2021-03-24,10400
2021-03-25,10400
2021-03-26,10450
2021-03-29,10450
2021-03-30,10400
2021-03-31,10350
2021-04-01,10400
2021-04-05,10400
2021-04-06,10400
2021-04-07,10350
2021-04-08,10350
2021-04-09,10350
2021-04-12,10350
2021-04-13,10350
2021-04-14,10350
2021-04-15,10400
2021-04-16,10400
2021-04-19,10400
2021-04-20,10350
2021-04-21,10350
2021-04-22,10350
2021-04-23,10350
2021-04-26,10350
2021-04-27,10350
2021-04-28,10350
2021-04-29,10350
2021-04-30,10350
2021-05-03,10350
2021-05-04,10350
2021-05-05,10350
2021-05-06,10350
2021-05-07,10350
2021-05-10,10350
2021-05-11,10350
2021-05-17,10350
2021-05-18,10350
2021-05-19,10350
2021-05-20,10350
2021-05-21,10350
2021-05-24,10350
2021-05-25,10350
2021-05-27,10350
2021-05-28,10350
2021-05-31,10350
2021-06-02,10350
2021-06-03,10350
2021-06-04,10350
2021-06-07,10300
2021-06-08,10350
2021-06-09,10300
2021-06-10,10350
2021-06-11,10350
2021-06-14,10350
2021-06-15,10350
2021-06-16,10350
2021-06-17,10350
2021-06-18,10350
2021-06-21,10300
2021-06-22,10300
2021-06-23,10300
2021-06-24,9650
2021-06-25,10250
2021-06-28,10250
2021-06-29,10250
2021-06-30,10250
2021-07-01,10300
2021-07-02,10250
2021-07-05,10250
2021-07-06,10250
2021-07-07,10250
2021-07-08,10250
2021-07-09,10250
2021-07-12,10250
2021-07-13,10250
2021-07-14,10250
2021-07-15,10250
2021-07-16,10250
2021-07-19,10200
2021-07-21,10200
2021-07-22,10200
2021-07-23,10200
2021-07-26,10200
2021-07-27,10200
2021-07-28,10200
2021-07-29,10200
2021-07-30,10200
2021-08-02,10200
2021-08-03,10200
2021-08-04,10200
2021-08-05,10150
2021-08-06,10200
2021-08-09,10200
2021-08-10,10100
2021-08-12,10200
2021-08-13,10200
2021-08-16,10200
2021-08-18,10200
2021-08-19,10200
2021-08-20,10200
2021-08-23,10200
2021-08-24,10200
2021-08-25,10150
2021-08-26,10200
2021-08-27,10200
2021-08-30,10150
2021-08-31,10200
2021-09-01,10100
2021-09-02,10200
2021-09-03,10200
2021-09-06,10200
2021-09-07,10200
2021-09-08,10200
2021-09-09,10150
2021-09-10,10200
2021-09-13,10200
2021-09-14,10200
2021-09-15,10200
2021-09-16,10200
2021-09-17,10200
2021-09-20,10200
2021-09-21,10200
2021-09-22,10200
2021-09-23,10200
2021-09-24,10200
2021-09-27,10250
2021-09-28,10250
2021-09-29,10250
2021-09-30,10250
2021-10-01,10250
2021-10-04,10200
2021-10-05,10200
2021-10-06,10200
2021-10-07,10200
2021-10-08,10200
2021-10-11,10200
2021-10-12,10200
2021-10-13,10200
2021-10-14,10200
2021-10-15,10200
2021-10-18,10200
2021-10-19,10200
2021-10-21,10200
2021-10-22,10250
2021-10-25,10250
2021-10-26,10250
2021-10-27,10250
2021-10-28,10250
2021-10-29,10250
2021-11-01,10250
2021-11-02,10250
2021-11-03,10250
2021-11-04,10250
2021-11-05,10250
2021-11-08,10250
2021-11-09,10250
2021-11-10,10250
2021-11-11,10250
2021-11-12,10250
2021-11-15,10250
2021-11-16,10250
2021-11-17,10250
2021-11-18,10250
2021-11-19,10300
2021-11-22,10300
2021-11-23,10300
2021-11-24,10300
2021-11-25,10300
2021-11-26,10300
2021-11-29,10300
2021-11-30,10300
2021-12-01,10300
2021-12-02,10300
2021-12-03,10350
2021-12-06,10350
2021-12-07,10350
2021-12-08,10350
2021-12-09,10350
2021-12-10,10350
2021-12-13,10350
2021-12-14,10350
2021-12-15,10350
2021-12-16,10350
2021-12-17,10350
2021-12-20,10350
2021-12-21,10400
2021-12-22,10350
2021-12-23,10400
2021-12-24,10450
2021-12-27,10400
2021-12-28,10500
2021-12-29,10500
2021-12-30,10500
2021-12-31,10500
2022-01-03,10450
2022-01-04,10500
2022-01-05,10500
2022-01-06,10500
2022-01-07,10500
2022-01-10,10550
2022-01-11,10550
2022-01-12,10300
2022-01-13,10550
2022-01-14,10550
2022-01-17,10550
2022-01-18,10550
2022-01-19,10550
2022-01-20,10550
2022-01-21,10550
2022-01-24,10550
2022-01-25,10550
2022-01-26,10550
2022-01-27,10550
2022-01-28,10500
2022-01-31,10550
2022-02-02,10550
2022-02-03,10550
2022-02-04,10550
2022-02-07,10550
2022-02-08,10550
2022-02-09,10550
2022-02-10,10550
2022-02-11,10550
2022-02-14,10550
2022-02-15,10550
2022-02-16,10550
2022-02-17,10550
2022-02-18,10550
2022-02-21,10550
2022-02-22,10550
2022-02-23,10550
2022-02-24,10550
2022-02-25,10550
2022-03-01,10550
2022-03-02,10550
2022-03-04,10550
2022-03-07,10550
2022-03-08,10550
2022-03-09,10550
2022-03-10,10550
2022-03-11,10550
2022-03-14,10600
2022-03-15,10600
2022-03-16,10600
2022-03-17,10550
2022-03-18,10600
2022-03-21,10600
2022-03-22,10550
2022-03-23,10550
2022-03-24,10550
2022-03-25,10550
2022-03-28,10550
2022-03-29,10550
2022-03-30,10550
2022-03-31,10550
2022-04-01,10550
2022-04-04,10550
2022-04-05,10550
2022-04-06,10550
2022-04-07,10550
2022-04-08,10550
2022-04-11,10550
2022-04-12,10550
2022-04-13,10500
2022-04-14,10500
2022-04-18,10550
2022-04-19,10500
2022-04-20,10550
2022-04-21,10550
2022-04-22,10500
2022-04-25,10500
2022-04-26,10500
2022-04-27,10500
2022-04-28,10500
2022-05-09,10550
2022-05-10,10550
2022-05-11,10550
2022-05-12,10550
2022-05-13,10550
2022-05-17,10550
2022-05-18,10550
2022-05-19,9750
2022-05-20,9750
2022-05-23,9600
2022-05-24,9700
2022-05-25,9650
2022-05-27,9650
2022-05-30,9650
2022-05-31,9650
2022-06-02,9650
2022-06-03,9650
2022-06-06,9650
2022-06-07,9650
2022-06-08,9650
2022-06-09,9650
2022-06-10,9650
2022-06-13,9650
2022-06-14,9600
2022-06-15,9650
2022-06-16,9650
2022-06-17,9650
2022-06-20,9650
2022-06-21,9650
2022-06-22,9650
2022-06-23,9650
2022-06-24,9650
2022-06-27,9650
2022-06-28,9650
2022-06-29,9650
2022-06-30,9550
2022-07-01,9550
2022-07-04,9650
2022-07-05,9650
2022-07-06,9650
2022-07-07,9650
2022-07-08,9650
2022-07-11,9650
2022-07-12,9650
2022-07-13,9650
2022-07-14,9650
2022-07-15,9650
2022-07-18,9700
2022-07-19,9700
2022-07-20,9700
2022-07-21,9700
2022-07-22,9700
2022-07-25,9700
2022-07-26,9700
2022-07-27,9700
2022-07-28,9750
2022-07-29,9750
2022-08-01,9750
2022-08-02,9750
2022-08-03,9800
2022-08-04,9800
2022-08-05,9800
2022-08-08,9800
2022-08-09,9800
2022-08-10,9800
2022-08-11,9850
2022-08-12,9850
2022-08-15,9850
2022-08-16,9900
2022-08-18,9900
2022-08-19,9900
2022-08-22,9950
2022-08-23,9950
2022-08-24,9950
2022-08-25,9950
2022-08-26,9950
2022-08-29,9950
2022-08-30,9950
2022-08-31,9950
2022-09-01,9950
2022-09-02,9950
2022-09-05,10000
2022-09-06,10000
2022-09-07,10000
2022-09-08,10000
2022-09-09,10000
2022-09-12,10050
2022-09-13,10050
2022-09-14,10100
2022-09-15,10100
2022-09-16,10100
2022-09-19,10150
2022-09-20,10150
2022-09-21,10200
2022-09-22,10200
2022-09-23,10200
2022-09-26,10200
2022-09-27,10200
2022-09-28,10200
2022-09-29,10250
2022-09-30,10250
2022-10-03,10250
2022-10-04,10250
2022-10-05,10250
2022-10-06,10250
2022-10-07,10250
2022-10-10,10250
2022-10-11,10250
2022-10-12,10250
2022-10-13,10250
2022-10-14,10250
2022-10-17,10300
2022-10-18,10400
2022-10-19,10400
2022-10-20,10400
2022-10-21,10400
2022-10-24,10400
2022-10-25,10400
2022-10-26,10400
2022-10-27,10450
2022-10-28,10450
2022-10-31,10450
2022-11-01,10450
2022-11-02,10450
2022-11-03,10450
2022-11-04,10450
2022-11-07,10450
2022-11-08,10450
2022-11-09,10500
2022-11-10,10500
2022-11-11,10500
2022-11-14,10500
2022-11-15,10500
2022-11-16,10500
2022-11-17,10500
2022-11-18,10500
2022-11-21,10500
2022-11-22,10550
2022-11-23,10550
2022-11-24,10550
2022-11-25,10550
2022-11-28,10550
2022-11-29,10600
2022-11-30,10600
2022-12-01,10600
2022-12-02,10600
2022-12-05,10650
2022-12-06,10700
2022-12-07,10700
2022-12-08,10750
2022-12-09,10800
2022-12-12,10850
2022-12-13,10850
2022-12-14,10900
2022-12-15,10900
2022-12-16,10900
2022-12-19,10900
2022-12-20,10900
2022-12-21,10900
2022-12-22,10900
2022-12-23,10900
2022-12-26,10900
2022-12-27,10900
2022-12-28,10900
2022-12-29,10850
2022-12-30,10850
2023-01-02,10850
2023-01-03,10850
2023-01-04,10850
2023-01-05,10850
2023-01-06,10850
2023-01-09,10850
2023-01-10,10900
2023-01-11,10900
2023-01-12,10950
2023-01-13,10950
2023-01-16,10950
2023-01-17,11000
2023-01-18,11000
2023-01-19,11000
2023-01-20,11000
2023-01-23,11000
2023-01-24,11000
2023-01-25,11050
2023-01-26,11050
2023-01-27,11100
2023-01-30,11150
2023-01-31,11200
2023-02-01,11200
2023-02-02,11200
2023-02-03,11250
2023-02-06,11300
2023-02-07,11300
2023-02-08,11300
2023-02-09,11350
2023-02-10,11350
2023-02-13,11350
2023-02-14,11350
2023-02-15,11350
2023-02-16,11400
2023-02-17,11250
2023-02-20,11400
2023-02-21,11400
2023-02-22,11400
2023-02-23,11400
2023-02-24,11400
2023-02-27,11250
2023-02-28,11200
2023-03-01,11200
2023-03-02,11200
2023-03-03,11200
2023-03-06,11100
2023-03-07,11050
2023-03-08,11150
2023-03-09,11100
2023-03-10,11100
2023-03-13,11100
2023-03-14,11100
2023-03-15,11150
2023-03-16,11250
2023-03-17,11250
2023-03-20,11250
2023-03-21,11250
2023-03-22,11100
2023-03-23,11100
2023-03-24,11200
2023-03-27,11250
2023-03-28,11250
2023-03-29,11250
2023-03-30,11250
2023-03-31,11250
2023-04-03,12100
2023-04-04,12100
2023-04-05,12100
2023-04-06,12100
2023-04-07,11950
2023-04-10,12100
2023-04-11,12100
2023-04-12,12100
2023-04-13,12100
2023-04-14,12100
2023-04-17,12150
2023-04-18,12150
2023-04-19,12150
2023-04-20,12150
2023-04-21,12150
2023-04-24,12300
2023-04-25,12250
2023-04-26,12100
2023-04-27,12150
2023-04-28,12150
2023-05-01,12150
2023-05-02,12100
2023-05-03,12100
2023-05-04,12100
2023-05-05,12100
2023-05-08,12100
2023-05-09,12100
2023-05-10,12100
2023-05-11,12100
2023-05-12,12100
2023-05-15,12100
2023-05-16,12100
2023-05-17,12100
2023-05-18,12100
2023-05-19,12150
2023-05-22,12150
2023-05-23,12150
2023-05-24,12150
2023-05-25,12150
2023-05-26,12200
2023-05-29,12200
2023-05-30,12150
2023-05-31,11800
2023-06-01,12150
2023-06-02,12150
2023-06-05,12150
2023-06-06,12150
2023-06-07,12150
2023-06-08,12100
2023-06-09,12100
2023-06-12,12100
2023-06-13,12100
2023-06-14,12150
2023-06-15,12100
2023-06-16,12100
2023-06-19,12100
2023-06-20,12100
2023-06-21,12100
2023-06-22,12100
2023-06-23,12100
2023-06-26,12100
2023-06-27,12100
2023-06-28,12100
2023-06-29,12100
2023-06-30,12100
